name,lat,lon,height,color
2025-02-16T16:59:45.000,-1.819606604168348,-36.69552809440111,419490.37616976525,red
2025-02-16T16:59:50.000,-2.074281846950612,-36.51593475249064,419518.9846178461,red
2025-02-16T16:59:55.000,-2.3289288223444604,-36.336278966141776,419548.221178589,red
2025-02-16T17:00:00.000,-2.583544268850468,-36.15655287343328,419578.0843144947,red
2025-02-16T17:00:05.000,-2.838124921283244,-35.97674860504327,419608.572399754,red
2025-02-16T17:00:10.000,-3.092667510346401,-35.7968582834044,419639.683720412,red
2025-02-16T17:00:15.000,-3.347168762202428,-35.616874021868576,419671.4164745434,red
2025-02-16T17:00:20.000,-3.6016253980419624,-35.436787923861054,419703.76877239393,red
2025-02-16T17:00:25.000,-3.856034133657844,-35.256592082050865,419736.7386365807,red
2025-02-16T17:00:30.000,-4.110391679006921,-35.07627857748056,419770.3240022828,red
2025-02-16T17:00:35.000,-4.36469473778156,-34.895839478750446,419804.52271743387,red
2025-02-16T17:00:40.000,-4.618940006971944,-34.71526684116772,419839.3325429685,red
2025-02-16T17:00:45.000,-4.873124176430983,-34.53455270589372,419874.751153024,red
2025-02-16T17:00:50.000,-5.127243928436141,-34.35368909911267,419910.7761351882,red
2025-02-16T17:00:55.000,-5.381295937248789,-34.17266803117644,419947.4049907726,red
2025-02-16T17:01:00.000,-5.63527686867408,-33.99148149576488,419984.6351350428,red
2025-02-16T17:01:05.000,-5.889183379614819,-33.81012146904029,420022.46389751474,red
2025-02-16T17:01:10.000,-6.1430121176286905,-33.62857990879768,420060.8885222575,red
2025-02-16T17:01:15.000,-6.396759720476896,-33.44684875362746,420099.9061681479,pink
