name,Az,El,r,x,y,z,color
2025-02-16T16:59:45.000,340.6693911353325,37.984891203050225,649917.6464562337,-169563.4534559296,483369.24670094147,399994.1921716779,red
2025-02-16T16:59:50.000,341.8960599155922,40.16008635249364,624260.2193960533,-148251.1975597314,453469.5070166573,402601.3042062629,red
2025-02-16T16:59:55.000,343.31729559336657,42.48850883009533,599620.9231420858,-126933.81944902785,423556.9409420458,405009.35141014337,red
2025-02-16T17:00:00.000,344.9812146144735,44.9763779581271,576131.1681474157,-105611.84825621636,393632.5020383136,407218.2630455918,red
2025-02-16T17:00:05.000,346.95219150691986,47.6260129613249,553937.9441590871,-84285.8132657106,363697.14417987515,409227.97433305654,red
2025-02-16T17:00:10.000,349.31770644625647,50.43335514669315,533203.8587978475,-62956.243900726084,333751.82152311417,411038.4264528447,red
2025-02-16T17:00:15.000,352.1984097270751,53.38433596377725,514106.1258683736,-41623.669711238734,303797.4884756218,412649.56654655794,red
2025-02-16T17:00:20.000,355.76266068880994,56.449566928454324,496834.0664640415,-20288.620360712288,273835.099665377,414061.3477183152,red
2025-02-16T17:00:25.000,0.24631212907659644,59.57658158023834,481584.68083255965,1048.3743852050684,243865.60990922386,415273.7290358602,red
2025-02-16T17:00:30.000,5.975105000223544,62.678619326441996,468555.9576068949,22386.7846747594,213889.97418264108,416286.67553140514,red
2025-02-16T17:00:35.000,13.374272417044859,65.6192782860672,457937.8633197617,43726.0805796716,183909.14758820477,417100.158202306,red
2025-02-16T17:00:40.000,22.914418883843513,68.19556356384402,449901.4203129286,65065.73210883918,153924.08532496815,417714.15401157184,red
2025-02-16T17:00:45.000,34.88334047002346,70.13367981524077,444586.87902478414,86405.20922220123,123935.74265734485,418128.6458881262,red
2025-02-16T17:00:50.000,48.913891048957346,71.13457035204335,442092.55749725376,107743.98184201002,93945.07488416959,418343.62272693845,red
2025-02-16T17:00:55.000,63.644027964902655,70.99962475458244,442466.21233625524,129081.51986689835,63953.03730784019,418359.07938892115,red
2025-02-16T17:01:00.000,77.27731514998146,69.75838518759072,445700.6035768109,150417.29318403458,33960.585203186725,418175.01670063793,red
2025-02-16T17:01:05.000,88.67629240711949,67.6474439806206,451734.17680870724,171750.77168192808,3968.673786822699,417791.4414538388,red
2025-02-16T17:01:10.000,97.67555130446023,64.9684724112702,460456.7176478733,193081.42526366672,-26021.741814135836,417208.3664048012,red
2025-02-16T17:01:15.000,104.64013670714519,61.98003726370906,471718.8183242078,214408.7238586349,-56009.70659258257,416425.8102734644,pink
