name,Az,El,r,x,y,z,color,az_BR_RN_Plan,el_BR_RN_Plan,r_BR_RN_Plan,ECEF_X,ECEF_Y,ECEF_Z,lat,lon,height
2025-02-16T16:59:45.000,340.6693911353325,37.98489120305023,649917.6464562337,-169563.4534559296,483369.2467009415,399994.1921716779,red,340.6693911353325,37.984891203050225,649917.6464562338,5447757.981128976,-4059972.2654601317,-214488.53091147536,-1.8196066041686538,-36.69552809440111,419490.3761697644
2025-02-16T16:59:50.000,341.8960599155922,40.16008635249364,624260.2193960533,-148251.1975597314,453469.5070166573,402601.3042062629,red,341.8960599155922,40.16008635249364,624260.2193960533,5459660.304621766,-4042286.391853494,-244497.66765308921,-2.0742818469510667,-36.51593475249064,419518.9846178462
2025-02-16T16:59:55.000,343.31729559336657,42.48850883009533,599620.9231420858,-126933.81944902784,423556.9409420458,405009.35141014337,red,343.31729559336657,42.48850883009533,599620.9231420858,5471402.839074346,-4024481.252416888,-274499.0143610588,-2.3289288223451026,-36.336278966141776,419548.2211785901
2025-02-16T17:00:00.000,344.9812146144735,44.9763779581271,576131.1681474157,-105611.84825621636,393632.5020383136,407218.2630455918,red,344.9812146144735,44.9763779581271,576131.1681474157,5482985.301901794,-4006557.2953854236,-304491.6152660907,-2.5835442688513446,-36.15655287343328,419578.0843144959
2025-02-16T17:00:05.000,346.95219150691986,47.6260129613249,553937.9441590871,-84285.8132657106,363697.1441798752,409227.9743330565,red,346.95219150691986,47.626012961324896,553937.9441590871,5494407.4152965965,-3988514.972558666,-334474.51490237244,-2.8381249212844053,-35.97674860504327,419608.5723997544
2025-02-16T17:00:10.000,349.31770644625647,50.43335514669315,533203.8587978475,-62956.24390072608,333751.82152311417,411038.4264528447,red,349.31770644625647,50.43335514669315,533203.8587978475,5505668.906235013,-3970354.7392889494,-364446.75813881867,-3.092667510347905,-35.7968582834044,419639.6837204107
2025-02-16T17:00:15.000,352.1984097270751,53.38433596377725,514106.1258683736,-41623.669711238734,303797.4884756218,412649.56654655794,red,352.1984097270751,53.38433596377725,514106.1258683736,5516769.506482601,-3952077.0544705368,-394407.3902098158,-3.3471687622043347,-35.616874021868576,419671.4164745433
2025-02-16T17:00:20.000,355.76266068880994,56.44956692845432,496834.0664640415,-20288.620360712288,273835.099665377,414061.3477183152,red,355.76266068880994,56.449566928454324,496834.0664640415,5527708.952600274,-3933682.3805276486,-424355.45674600423,-3.601625398044335,-35.436787923861054,419703.7687723941
2025-02-16T17:00:25.000,0.2463121290765964,59.57658158023834,481584.6808325597,1048.3743852050684,243865.60990922383,415273.7290358602,red,0.24631212907659647,59.57658158023834,481584.68083255965,5538486.985949072,-3915171.1834039916,-454290.00380574644,-3.8560341336607546,-35.256592082050865,419736.73863658117
2025-02-16T17:00:30.000,5.975105000223544,62.678619326442,468555.9576068949,22386.7846747594,213889.97418264108,416286.67553140514,red,5.975105000223544,62.678619326441996,468555.9576068949,5549103.35269758,-3896543.932548313,-484210.0779052832,-4.110391679010444,-35.07627857748056,419770.3240022828
2025-02-16T17:00:35.000,13.37427241704486,65.6192782860672,457937.8633197617,43726.0805796716,183909.1475882048,417100.158202306,red,13.374272417044857,65.6192782860672,457937.8633197617,5559557.803825352,-3877801.1009050864,-514114.72605017206,-4.364694737785781,-34.895839478750446,419804.5227174334
2025-02-16T17:00:40.000,22.91441888384352,68.19556356384402,449901.4203129286,65065.73210883918,153924.08532496815,417714.15401157184,red,22.914418883843513,68.19556356384402,449901.4203129286,5569850.0951286545,-3858943.1649017925,-544002.9957657966,-4.618940006976941,-34.71526684116772,419839.33254297054
2025-02-16T17:00:45.000,34.88334047002346,70.13367981524077,444586.87902478414,86405.20922220123,123935.74265734485,418128.6458881262,red,34.88334047002346,70.13367981524077,444586.87902478414,5579979.98722606,-3839970.604435894,-573873.9351283441,-4.873124176436851,-34.53455270589372,419874.75115302386
2025-02-16T17:00:50.000,48.91389104895735,71.13457035204335,442092.55749725376,107743.98184201002,93945.0748841696,418343.62272693845,red,48.91389104895734,71.13457035204335,442092.55749725376,5589947.245562455,-3820883.9028638643,-603726.5927955927,-5.127243928442972,-34.35368909911267,419910.77613518893
2025-02-16T17:00:55.000,63.644027964902655,70.99962475458244,442466.2123362552,129081.51986689836,63953.03730784019,418359.0793889212,red,63.64402796490266,70.99962475458244,442466.2123362553,5599751.640414478,-3801683.5469878027,-633560.0180375945,-5.381295937256682,-34.17266803117644,419947.4049907725
2025-02-16T17:01:00.000,77.27731514998146,69.75838518759072,445700.6035768109,150417.29318403458,33960.585203186725,418175.01670063793,red,77.27731514998146,69.75838518759072,445700.6035768109,5609392.946894678,-3782370.0270434883,-663373.2607676096,-5.635276868683139,-33.99148149576488,419984.6351350437
2025-02-16T17:01:05.000,88.67629240711949,67.6474439806206,451734.1768087072,171750.77168192808,3968.673786822699,417791.4414538388,red,88.67629240711949,67.6474439806206,451734.17680870724,5618870.944955944,-3762943.8366878303,-693165.3715725433,-5.889183379625153,-33.81012146904028,420022.46389751503
2025-02-16T17:01:10.000,97.67555130446024,64.9684724112702,460456.7176478733,193081.42526366672,-26021.74181413584,417208.3664048012,red,97.67555130446023,64.9684724112702,460456.7176478733,5628185.419395979,-3743405.472985817,-722935.401743992,-6.143012117640411,-33.628579908797676,420060.8885222574
2025-02-16T17:01:15.000,104.6401367071452,61.98003726370906,471718.8183242078,214408.7238586349,-56009.70659258257,416425.8102734644,red,104.64013670714519,61.98003726370906,471718.8183242078,5637336.159860789,-3723755.4363986338,-752682.4033085031,-6.39675972049012,-33.44684875362746,420099.9061681475
