name,ECEF_X,ECEF_Y,ECEF_Z,color
2025-02-16T16:59:45.000,5447757.981128976,-4059972.2654601317,-214488.53091147536,red
2025-02-16T16:59:50.000,5459660.304621766,-4042286.391853494,-244497.66765308921,red
2025-02-16T16:59:55.000,5471402.839074346,-4024481.252416888,-274499.0143610588,red
2025-02-16T17:00:00.000,5482985.301901794,-4006557.2953854236,-304491.6152660907,red
2025-02-16T17:00:05.000,5494407.4152965965,-3988514.972558666,-334474.51490237244,red
2025-02-16T17:00:10.000,5505668.906235013,-3970354.7392889494,-364446.75813881867,red
2025-02-16T17:00:15.000,5516769.506482601,-3952077.0544705368,-394407.3902098158,red
2025-02-16T17:00:20.000,5527708.952600274,-3933682.3805276486,-424355.45674600423,red
2025-02-16T17:00:25.000,5538486.985949072,-3915171.1834039916,-454290.00380574644,red
2025-02-16T17:00:30.000,5549103.35269758,-3896543.932548313,-484210.0779052832,red
2025-02-16T17:00:35.000,5559557.803825352,-3877801.1009050864,-514114.72605017206,red
2025-02-16T17:00:40.000,5569850.0951286545,-3858943.1649017925,-544002.9957657966,red
2025-02-16T17:00:45.000,5579979.98722606,-3839970.604435894,-573873.9351283441,red
2025-02-16T17:00:50.000,5589947.245562455,-3820883.9028638643,-603726.5927955927,red
2025-02-16T17:00:55.000,5599751.640414478,-3801683.5469878027,-633560.0180375945,red
2025-02-16T17:01:00.000,5609392.946894678,-3782370.0270434883,-663373.2607676096,red
2025-02-16T17:01:05.000,5618870.944955944,-3762943.8366878303,-693165.3715725433,red
2025-02-16T17:01:10.000,5628185.419395979,-3743405.472985817,-722935.401743992,red
2025-02-16T17:01:15.000,5637336.159860789,-3723755.4363986338,-752682.4033085031,pink
